tSec,ra,dec,range,range_rate,
0,99999999,99999999,99999999,99999999,
10,99999999,99999999,99999999,99999999,
20,99999999,99999999,99999999,99999999,
30,99999999,99999999,99999999,99999999,
40,99999999,99999999,99999999,99999999,
50,99999999,99999999,99999999,99999999,
60,99999999,99999999,99999999,99999999,
70,99999999,99999999,99999999,99999999,
80,99999999,99999999,99999999,99999999,
90,99999999,99999999,99999999,99999999,
100,99999999,99999999,99999999,99999999,
110,99999999,99999999,99999999,99999999,
120,99999999,99999999,99999999,99999999,
130,99999999,99999999,99999999,99999999,
140,99999999,99999999,99999999,99999999,
150,99999999,99999999,99999999,99999999,
160,99999999,99999999,99999999,99999999,
170,99999999,99999999,99999999,99999999,
180,99999999,99999999,99999999,99999999,
190,99999999,99999999,99999999,99999999,
200,99999999,99999999,99999999,99999999,
210,99999999,99999999,99999999,99999999,
220,99999999,99999999,99999999,99999999,
230,99999999,99999999,99999999,99999999,
240,99999999,99999999,99999999,99999999,
250,99999999,99999999,99999999,99999999,
260,99999999,99999999,99999999,99999999,
270,99999999,99999999,99999999,99999999,
280,99999999,99999999,99999999,99999999,
290,99999999,99999999,99999999,99999999,
300,99999999,99999999,99999999,99999999,
310,99999999,99999999,99999999,99999999,
320,99999999,99999999,99999999,99999999,
330,99999999,99999999,99999999,99999999,
340,99999999,99999999,99999999,99999999,
350,99999999,99999999,99999999,99999999,
360,99999999,99999999,99999999,99999999,
370,99999999,99999999,99999999,99999999,
380,99999999,99999999,99999999,99999999,
390,99999999,99999999,99999999,99999999,
400,99999999,99999999,99999999,99999999,
410,99999999,99999999,99999999,99999999,
420,99999999,99999999,99999999,99999999,
430,99999999,99999999,99999999,99999999,
440,99999999,99999999,99999999,99999999,
450,99999999,99999999,99999999,99999999,
460,99999999,99999999,99999999,99999999,
470,99999999,99999999,99999999,99999999,
480,99999999,99999999,99999999,99999999,
490,99999999,99999999,99999999,99999999,
500,99999999,99999999,99999999,99999999,
510,99999999,99999999,99999999,99999999,
520,99999999,99999999,99999999,99999999,
530,99999999,99999999,99999999,99999999,
540,99999999,99999999,99999999,99999999,
550,99999999,99999999,99999999,99999999,
560,99999999,99999999,99999999,99999999,
570,99999999,99999999,99999999,99999999,
580,99999999,99999999,99999999,99999999,
590,99999999,99999999,99999999,99999999,
600,99999999,99999999,99999999,99999999,
610,99999999,99999999,99999999,99999999,
620,99999999,99999999,99999999,99999999,
630,99999999,99999999,99999999,99999999,
640,99999999,99999999,99999999,99999999,
650,99999999,99999999,99999999,99999999,
660,99999999,99999999,99999999,99999999,
670,99999999,99999999,99999999,99999999,
680,99999999,99999999,99999999,99999999,
690,99999999,99999999,99999999,99999999,
700,99999999,99999999,99999999,99999999,
710,99999999,99999999,99999999,99999999,
720,99999999,99999999,99999999,99999999,
730,99999999,99999999,99999999,99999999,
740,99999999,99999999,99999999,99999999,
750,99999999,99999999,99999999,99999999,
760,99999999,99999999,99999999,99999999,
770,99999999,99999999,99999999,99999999,
780,99999999,99999999,99999999,99999999,
790,99999999,99999999,99999999,99999999,
800,99999999,99999999,99999999,99999999,
810,99999999,99999999,99999999,99999999,
820,99999999,99999999,99999999,99999999,
830,99999999,99999999,99999999,99999999,
840,99999999,99999999,99999999,99999999,
850,99999999,99999999,99999999,99999999,
860,99999999,99999999,99999999,99999999,
870,99999999,99999999,99999999,99999999,
880,99999999,99999999,99999999,99999999,
890,99999999,99999999,99999999,99999999,
900,99999999,99999999,99999999,99999999,
910,99999999,99999999,99999999,99999999,
920,99999999,99999999,99999999,99999999,
930,99999999,99999999,99999999,99999999,
940,99999999,99999999,99999999,99999999,
950,99999999,99999999,99999999,99999999,
960,99999999,99999999,99999999,99999999,
970,99999999,99999999,99999999,99999999,
980,99999999,99999999,99999999,99999999,
990,99999999,99999999,99999999,99999999,
1000,99999999,99999999,99999999,99999999,
1010,99999999,99999999,99999999,99999999,
1020,99999999,99999999,99999999,99999999,
1030,99999999,99999999,99999999,99999999,
1040,99999999,99999999,99999999,99999999,
1050,99999999,99999999,99999999,99999999,
1060,0.188886652969387,0.00115049685665008,2974923.71754373,-6647.10902839372,
1070,0.194234232035434,0.0119730101468157,2908496.06922187,-6638.20205023547,
1080,0.1998331322751,0.0230451952699064,2842164.21744149,-6627.93229386181,
1090,0.20570248596246,0.034383863258046,2775942.33256702,-6616.18921083987,
1100,0.211863373324459,0.0460072595105759,2709845.75412557,-6602.84923708104,
1110,0.218339072013246,0.0579352043266642,2643891.129787,-6587.77398436715,
1120,0.225155344989003,0.0701892472455303,2578096.57381432,-6570.80814727705,
1130,0.232340773691995,0.0827928360311062,2512481.8480672,-6551.7770768666,
1140,0.239927144775053,0.0957715009182997,2447068.56916936,-6530.4839638871,
1150,0.247949900369755,0.109153054364429,2381880.44607146,-6506.70656437218,
1160,0.256448663943816,0.122967805953416,2316943.55296862,-6480.19338896605,
1170,0.265467856363437,0.137248791185344,2252286.64338204,-6450.6592643645,
1180,0.275057419912058,0.152032011515013,2187941.51220121,-6417.78016078182,
1190,0.285273671869136,0.167356680990847,2123943.4136217,-6381.18716375399,
1200,0.29618031397709,0.18326547192632,2060331.5442107,-6340.45945250917,
1210,0.30784962990526,0.19980474784295,1997149.60178788,-6295.11613182851,
1220,0.320363909860264,0.217024765949176,1934446.43240596,-6244.60675194989,
1230,0.333817150001764,0.234979822964227,1872276.77940607,-6188.30034516706,
1240,0.348317084482411,0.253728306207271,1810702.15021583,-6125.47281480908,
1250,0.363987619822746,0.273332595261763,1749791.81808848,-6055.29253909492,
1260,0.380971754809374,0.293858736483894,1689623.97707041,-5976.80411735072,
1270,0.399435083548132,0.31537578093815,1630287.06867328,-5888.91030444604,
1280,0.41956999317258,0.337954633236326,1571881.2973265,-5790.35238550304,
1290,0.44160067776523,0.36166620096445,1514520.3476202,-5679.68957754955,
1300,0.465789089984229,0.386578558453706,1458333.30806018,-5555.27856607535,
1310,0.49244192997579,0.412752741781206,1403466.79131856,-5415.25506642489,
1320,0.521918706319966,0.440236673730972,1350087.21674575,-5257.52042906996,
1330,0.554640759227688,0.469056583716441,1298383.18330474,-5079.73786838342,
1340,0.591100849768896,0.499205156733883,1248567.80549439,-4879.34493369872,
1350,0.631872389469608,0.53062555961259,1200880.80662643,-4653.5912994394,
1360,0.677616457489135,0.563190536249076,1155590.06000498,-4399.61354063321,
1370,0.729083214541773,0.596676086757706,1112992.14083451,-4114.56059230968,
1380,0.787101939069717,0.630730092302793,1073411.31155287,-3795.78376354631,
1390,0.852550581078052,0.664837963353146,1037196.23888255,-3441.10146306797,
1400,0.926291902061579,0.698290359496512,1004713.68367645,-3049.13863307771,
1410,1.00906079485876,0.730162437968855,976338.490899327,-2619.722106014,
1420,1.1012907010188,0.759319343111402,952439.525408857,-2154.28582029959,
1430,1.20288358631586,0.784466418893248,933361.814316537,-1656.20914560562,
1440,1.31296431983879,0.80426004528239,919406.048992439,-1130.98934665901,
1450,1.42971044896368,0.817479914344358,910807.602841824,-586.15212311662,
1460,1.55037856703004,0.823234398954746,907718.00929527,-30.8454987471134,
1470,1.67160602369344,0.821139248208277,910192.027136056,524.86008858343,
1480,1.78993702493898,0.811401314600309,918182.740372707,1070.85355489609,
1490,1.90238497671842,0.794771001864517,931545.673960325,1597.87338629013,
1500,2.00681879978828,0.772384398282576,950051.102879189,2098.2299055908,
1510,2.10207319401577,0.745558574988679,973402.211794373,2566.24025560343,
1520,2.18782798508764,0.715605897339299,1001256.00139109,2998.3450405243,
1530,2.26437432221414,0.683705335749353,1033243.94831214,3392.95559539963,
1540,2.33237296063671,0.650836832974488,1068990.17500166,3750.12594777668,
1550,2.39266091119935,0.617765402357654,1108125.88550079,4071.14955514665,
1560,2.4461202310921,0.58505618920936,1150299.73580245,4358.16023913127,
1570,2.49360030354717,0.553104426690861,1195184.45088385,4613.78619903068,
1580,2.5358783267186,0.522169463520272,1242480.34419914,4840.87806220828,
1590,2.57364399646527,0.492406815905479,1291916.49911641,5042.3122916683,
1600,2.60749806390313,0.463895549869567,1343250.32393884,5220.86038821126,
1610,2.63795803078639,0.436660299658859,1396266.07108061,5379.11013061841,
1620,2.66546693442985,0.410688252525896,1450772.7705488,5519.42501501876,
1630,2.69040295734862,0.385941852972931,1506601.89815328,5643.92998651812,
1640,2.71308869291016,0.362368073133741,1563604.99254946,5754.51413695056,
1650,2.73379953471467,0.339905032139028,1621651.3546677,5852.84353363937,
1660,2.75277100799896,0.318486623530748,1680625.90555414,5940.37942960353,
1670,2.77020504277797,0.298045676121264,1740427.23957327,6018.39871115469,
1680,2.78627527367909,0.27851605266514,1800965.88464877,6088.01460543814,
1690,2.80113148412511,0.25983399012667,1862162.76575762,6150.19648121739,
1700,2.81490331792305,0.241938905798819,1923947.85912602,6205.78811837568,
1710,2.82770337359836,0.224773832625737,1986259.02021041,6255.52417079278,
1720,2.83962978369548,0.208285601439119,2049040.96696148,6300.04476282455,
1730,2.85076836677738,0.192424854134602,2112244.39996152,6339.90828550846,
1740,2.86119442597206,0.177145947234024,2175825.24206183,6375.60252605649,
1750,2.87097425548422,0.162406787497246,2239743.98165909,6407.55429467579,
1760,2.88016640578068,0.148168628473191,2303965.10544396,6436.1377207149,
1770,2.8888227491398,0.13439584775965,2368456.60815748,6461.6813850396,
1780,2.89698937976917,0.12105571826803,2433189.56850358,6484.47444347167,
1790,2.90470737653656,0.108118182222438,2498137.78183965,6504.77188086541,
1800,2.91201345131961,0.0955556334231623,2563277.44158189,6522.79901924123,
1810,2.91894050186811,0.0833427110821241,2628586.86241738,6538.75538766393,
1820,2.92551808472316,0.071456107010657,2694046.23941715,6552.81804695039,
1830,2.93177282100905,0.0598743869056822,2759637.43800864,6565.14444914384,
1840,2.93772874568985,0.0485778257939322,2825343.81050589,6575.874900091,
1850,2.94340760906724,0.0375482572515689,2891150.03552752,6585.1346833623,
1860,2.94882913781227,0.0267689357443669,2957041.97717033,6593.03589504967,
1870,2.95401126160755,0.0162244112788957,3023006.56126336,6599.67903151678,
1880,2.95897031047749,0.00590041548048555,3089031.66641537,6605.15436581576,
1890,99999999,99999999,99999999,99999999,
1900,99999999,99999999,99999999,99999999,
1910,99999999,99999999,99999999,99999999,
1920,99999999,99999999,99999999,99999999,
1930,99999999,99999999,99999999,99999999,
1940,99999999,99999999,99999999,99999999,
1950,99999999,99999999,99999999,99999999,
1960,99999999,99999999,99999999,99999999,
1970,99999999,99999999,99999999,99999999,
1980,99999999,99999999,99999999,99999999,
1990,99999999,99999999,99999999,99999999,
2000,99999999,99999999,99999999,99999999,
2010,99999999,99999999,99999999,99999999,
2020,99999999,99999999,99999999,99999999,
2030,99999999,99999999,99999999,99999999,
2040,99999999,99999999,99999999,99999999,
2050,99999999,99999999,99999999,99999999,
2060,99999999,99999999,99999999,99999999,
2070,99999999,99999999,99999999,99999999,
2080,99999999,99999999,99999999,99999999,
2090,99999999,99999999,99999999,99999999,
2100,99999999,99999999,99999999,99999999,
2110,99999999,99999999,99999999,99999999,
2120,99999999,99999999,99999999,99999999,
2130,99999999,99999999,99999999,99999999,
2140,99999999,99999999,99999999,99999999,
2150,99999999,99999999,99999999,99999999,
2160,99999999,99999999,99999999,99999999,
2170,99999999,99999999,99999999,99999999,
2180,99999999,99999999,99999999,99999999,
2190,99999999,99999999,99999999,99999999,
2200,99999999,99999999,99999999,99999999,
2210,99999999,99999999,99999999,99999999,
2220,99999999,99999999,99999999,99999999,
2230,99999999,99999999,99999999,99999999,
2240,99999999,99999999,99999999,99999999,
2250,99999999,99999999,99999999,99999999,
2260,99999999,99999999,99999999,99999999,
2270,99999999,99999999,99999999,99999999,
2280,99999999,99999999,99999999,99999999,
2290,99999999,99999999,99999999,99999999,
2300,99999999,99999999,99999999,99999999,
2310,99999999,99999999,99999999,99999999,
2320,99999999,99999999,99999999,99999999,
2330,99999999,99999999,99999999,99999999,
2340,99999999,99999999,99999999,99999999,
2350,99999999,99999999,99999999,99999999,
2360,99999999,99999999,99999999,99999999,
2370,99999999,99999999,99999999,99999999,
2380,99999999,99999999,99999999,99999999,
2390,99999999,99999999,99999999,99999999,
2400,99999999,99999999,99999999,99999999,
2410,99999999,99999999,99999999,99999999,
2420,99999999,99999999,99999999,99999999,
2430,99999999,99999999,99999999,99999999,
2440,99999999,99999999,99999999,99999999,
2450,99999999,99999999,99999999,99999999,
2460,99999999,99999999,99999999,99999999,
2470,99999999,99999999,99999999,99999999,
2480,99999999,99999999,99999999,99999999,
2490,99999999,99999999,99999999,99999999,
2500,99999999,99999999,99999999,99999999,
2510,99999999,99999999,99999999,99999999,
2520,99999999,99999999,99999999,99999999,
2530,99999999,99999999,99999999,99999999,
2540,99999999,99999999,99999999,99999999,
2550,99999999,99999999,99999999,99999999,
2560,99999999,99999999,99999999,99999999,
2570,99999999,99999999,99999999,99999999,
2580,99999999,99999999,99999999,99999999,
2590,99999999,99999999,99999999,99999999,
2600,99999999,99999999,99999999,99999999,
2610,99999999,99999999,99999999,99999999,
2620,99999999,99999999,99999999,99999999,
2630,99999999,99999999,99999999,99999999,
2640,99999999,99999999,99999999,99999999,
2650,99999999,99999999,99999999,99999999,
2660,99999999,99999999,99999999,99999999,
2670,99999999,99999999,99999999,99999999,
2680,99999999,99999999,99999999,99999999,
2690,99999999,99999999,99999999,99999999,
2700,99999999,99999999,99999999,99999999,
2710,99999999,99999999,99999999,99999999,
2720,99999999,99999999,99999999,99999999,
2730,99999999,99999999,99999999,99999999,
2740,99999999,99999999,99999999,99999999,
2750,99999999,99999999,99999999,99999999,
2760,99999999,99999999,99999999,99999999,
2770,99999999,99999999,99999999,99999999,
2780,99999999,99999999,99999999,99999999,
2790,99999999,99999999,99999999,99999999,
2800,99999999,99999999,99999999,99999999,
2810,99999999,99999999,99999999,99999999,
2820,99999999,99999999,99999999,99999999,
2830,99999999,99999999,99999999,99999999,
2840,99999999,99999999,99999999,99999999,
2850,99999999,99999999,99999999,99999999,
2860,99999999,99999999,99999999,99999999,
2870,99999999,99999999,99999999,99999999,
2880,99999999,99999999,99999999,99999999,
2890,99999999,99999999,99999999,99999999,
2900,99999999,99999999,99999999,99999999,
2910,99999999,99999999,99999999,99999999,
2920,99999999,99999999,99999999,99999999,
2930,99999999,99999999,99999999,99999999,
2940,99999999,99999999,99999999,99999999,
2950,99999999,99999999,99999999,99999999,
2960,99999999,99999999,99999999,99999999,
2970,99999999,99999999,99999999,99999999,
2980,99999999,99999999,99999999,99999999,
2990,99999999,99999999,99999999,99999999,
3000,99999999,99999999,99999999,99999999,
3010,99999999,99999999,99999999,99999999,
3020,99999999,99999999,99999999,99999999,
3030,99999999,99999999,99999999,99999999,
3040,99999999,99999999,99999999,99999999,
3050,99999999,99999999,99999999,99999999,
3060,99999999,99999999,99999999,99999999,
3070,99999999,99999999,99999999,99999999,
3080,99999999,99999999,99999999,99999999,
3090,99999999,99999999,99999999,99999999,
3100,99999999,99999999,99999999,99999999,
3110,99999999,99999999,99999999,99999999,
3120,99999999,99999999,99999999,99999999,
3130,99999999,99999999,99999999,99999999,
3140,99999999,99999999,99999999,99999999,
3150,99999999,99999999,99999999,99999999,
3160,99999999,99999999,99999999,99999999,
3170,99999999,99999999,99999999,99999999,
3180,99999999,99999999,99999999,99999999,
3190,99999999,99999999,99999999,99999999,
3200,99999999,99999999,99999999,99999999,
3210,99999999,99999999,99999999,99999999,
3220,99999999,99999999,99999999,99999999,
3230,99999999,99999999,99999999,99999999,
3240,99999999,99999999,99999999,99999999,
3250,99999999,99999999,99999999,99999999,
3260,99999999,99999999,99999999,99999999,
3270,99999999,99999999,99999999,99999999,
3280,99999999,99999999,99999999,99999999,
3290,99999999,99999999,99999999,99999999,
3300,99999999,99999999,99999999,99999999,
3310,99999999,99999999,99999999,99999999,
3320,99999999,99999999,99999999,99999999,
3330,99999999,99999999,99999999,99999999,
3340,99999999,99999999,99999999,99999999,
3350,99999999,99999999,99999999,99999999,
3360,99999999,99999999,99999999,99999999,
3370,99999999,99999999,99999999,99999999,
3380,99999999,99999999,99999999,99999999,
3390,99999999,99999999,99999999,99999999,
3400,99999999,99999999,99999999,99999999,
3410,99999999,99999999,99999999,99999999,
3420,99999999,99999999,99999999,99999999,
3430,99999999,99999999,99999999,99999999,
3440,99999999,99999999,99999999,99999999,
3450,99999999,99999999,99999999,99999999,
3460,99999999,99999999,99999999,99999999,
3470,99999999,99999999,99999999,99999999,
3480,99999999,99999999,99999999,99999999,
3490,99999999,99999999,99999999,99999999,
3500,99999999,99999999,99999999,99999999,
3510,99999999,99999999,99999999,99999999,
3520,99999999,99999999,99999999,99999999,
3530,99999999,99999999,99999999,99999999,
3540,99999999,99999999,99999999,99999999,
3550,99999999,99999999,99999999,99999999,
3560,99999999,99999999,99999999,99999999,
3570,99999999,99999999,99999999,99999999,
3580,99999999,99999999,99999999,99999999,
3590,99999999,99999999,99999999,99999999,
3600,99999999,99999999,99999999,99999999,
3610,99999999,99999999,99999999,99999999,
3620,99999999,99999999,99999999,99999999,
3630,99999999,99999999,99999999,99999999,
3640,99999999,99999999,99999999,99999999,
3650,99999999,99999999,99999999,99999999,
3660,99999999,99999999,99999999,99999999,
3670,99999999,99999999,99999999,99999999,
3680,99999999,99999999,99999999,99999999,
3690,99999999,99999999,99999999,99999999,
3700,99999999,99999999,99999999,99999999,
3710,99999999,99999999,99999999,99999999,
3720,99999999,99999999,99999999,99999999,
3730,99999999,99999999,99999999,99999999,
3740,99999999,99999999,99999999,99999999,
3750,99999999,99999999,99999999,99999999,
3760,99999999,99999999,99999999,99999999,
3770,99999999,99999999,99999999,99999999,
3780,99999999,99999999,99999999,99999999,
3790,99999999,99999999,99999999,99999999,
3800,99999999,99999999,99999999,99999999,
3810,99999999,99999999,99999999,99999999,
3820,99999999,99999999,99999999,99999999,
3830,99999999,99999999,99999999,99999999,
3840,99999999,99999999,99999999,99999999,
3850,99999999,99999999,99999999,99999999,
3860,99999999,99999999,99999999,99999999,
3870,99999999,99999999,99999999,99999999,
3880,99999999,99999999,99999999,99999999,
3890,99999999,99999999,99999999,99999999,
3900,99999999,99999999,99999999,99999999,
3910,99999999,99999999,99999999,99999999,
3920,99999999,99999999,99999999,99999999,
3930,99999999,99999999,99999999,99999999,
3940,99999999,99999999,99999999,99999999,
3950,99999999,99999999,99999999,99999999,
3960,99999999,99999999,99999999,99999999,
3970,99999999,99999999,99999999,99999999,
3980,99999999,99999999,99999999,99999999,
3990,99999999,99999999,99999999,99999999,
4000,99999999,99999999,99999999,99999999,
4010,99999999,99999999,99999999,99999999,
4020,99999999,99999999,99999999,99999999,
4030,99999999,99999999,99999999,99999999,
4040,99999999,99999999,99999999,99999999,
4050,99999999,99999999,99999999,99999999,
4060,99999999,99999999,99999999,99999999,
4070,99999999,99999999,99999999,99999999,
4080,99999999,99999999,99999999,99999999,
4090,99999999,99999999,99999999,99999999,
4100,99999999,99999999,99999999,99999999,
4110,99999999,99999999,99999999,99999999,
4120,99999999,99999999,99999999,99999999,
4130,99999999,99999999,99999999,99999999,
4140,99999999,99999999,99999999,99999999,
4150,99999999,99999999,99999999,99999999,
4160,99999999,99999999,99999999,99999999,
4170,99999999,99999999,99999999,99999999,
4180,99999999,99999999,99999999,99999999,
4190,99999999,99999999,99999999,99999999,
4200,99999999,99999999,99999999,99999999,
4210,99999999,99999999,99999999,99999999,
4220,99999999,99999999,99999999,99999999,
4230,99999999,99999999,99999999,99999999,
4240,99999999,99999999,99999999,99999999,
4250,99999999,99999999,99999999,99999999,
4260,99999999,99999999,99999999,99999999,
4270,99999999,99999999,99999999,99999999,
4280,99999999,99999999,99999999,99999999,
4290,99999999,99999999,99999999,99999999,
4300,99999999,99999999,99999999,99999999,
4310,99999999,99999999,99999999,99999999,
4320,99999999,99999999,99999999,99999999,
4330,99999999,99999999,99999999,99999999,
4340,99999999,99999999,99999999,99999999,
4350,99999999,99999999,99999999,99999999,
4360,99999999,99999999,99999999,99999999,
4370,99999999,99999999,99999999,99999999,
4380,99999999,99999999,99999999,99999999,
4390,99999999,99999999,99999999,99999999,
4400,99999999,99999999,99999999,99999999,
4410,99999999,99999999,99999999,99999999,
4420,99999999,99999999,99999999,99999999,
4430,99999999,99999999,99999999,99999999,
4440,99999999,99999999,99999999,99999999,
4450,99999999,99999999,99999999,99999999,
4460,99999999,99999999,99999999,99999999,
4470,99999999,99999999,99999999,99999999,
4480,99999999,99999999,99999999,99999999,
4490,99999999,99999999,99999999,99999999,
4500,99999999,99999999,99999999,99999999,
4510,99999999,99999999,99999999,99999999,
4520,99999999,99999999,99999999,99999999,
4530,99999999,99999999,99999999,99999999,
4540,99999999,99999999,99999999,99999999,
4550,99999999,99999999,99999999,99999999,
4560,99999999,99999999,99999999,99999999,
4570,99999999,99999999,99999999,99999999,
4580,99999999,99999999,99999999,99999999,
4590,99999999,99999999,99999999,99999999,
4600,99999999,99999999,99999999,99999999,
4610,99999999,99999999,99999999,99999999,
4620,99999999,99999999,99999999,99999999,
4630,99999999,99999999,99999999,99999999,
4640,99999999,99999999,99999999,99999999,
4650,99999999,99999999,99999999,99999999,
4660,99999999,99999999,99999999,99999999,
4670,99999999,99999999,99999999,99999999,
4680,99999999,99999999,99999999,99999999,
4690,99999999,99999999,99999999,99999999,
4700,99999999,99999999,99999999,99999999,
4710,99999999,99999999,99999999,99999999,
4720,99999999,99999999,99999999,99999999,
4730,99999999,99999999,99999999,99999999,
4740,99999999,99999999,99999999,99999999,
4750,99999999,99999999,99999999,99999999,
4760,99999999,99999999,99999999,99999999,
4770,99999999,99999999,99999999,99999999,
4780,99999999,99999999,99999999,99999999,
4790,99999999,99999999,99999999,99999999,
4800,99999999,99999999,99999999,99999999,
4810,99999999,99999999,99999999,99999999,
4820,99999999,99999999,99999999,99999999,
4830,99999999,99999999,99999999,99999999,
4840,99999999,99999999,99999999,99999999,
4850,99999999,99999999,99999999,99999999,
4860,99999999,99999999,99999999,99999999,
4870,99999999,99999999,99999999,99999999,
4880,99999999,99999999,99999999,99999999,
4890,99999999,99999999,99999999,99999999,
4900,99999999,99999999,99999999,99999999,
4910,99999999,99999999,99999999,99999999,
4920,99999999,99999999,99999999,99999999,
4930,99999999,99999999,99999999,99999999,
4940,99999999,99999999,99999999,99999999,
4950,99999999,99999999,99999999,99999999,
4960,99999999,99999999,99999999,99999999,
4970,99999999,99999999,99999999,99999999,
4980,99999999,99999999,99999999,99999999,
4990,99999999,99999999,99999999,99999999,
5000,99999999,99999999,99999999,99999999,
5010,99999999,99999999,99999999,99999999,
5020,99999999,99999999,99999999,99999999,
5030,99999999,99999999,99999999,99999999,
5040,99999999,99999999,99999999,99999999,
5050,99999999,99999999,99999999,99999999,
5060,99999999,99999999,99999999,99999999,
5070,99999999,99999999,99999999,99999999,
5080,99999999,99999999,99999999,99999999,
5090,99999999,99999999,99999999,99999999,
5100,99999999,99999999,99999999,99999999,
5110,99999999,99999999,99999999,99999999,
5120,99999999,99999999,99999999,99999999,
5130,99999999,99999999,99999999,99999999,
5140,99999999,99999999,99999999,99999999,
5150,99999999,99999999,99999999,99999999,
5160,99999999,99999999,99999999,99999999,
5170,99999999,99999999,99999999,99999999,
5180,99999999,99999999,99999999,99999999,
5190,99999999,99999999,99999999,99999999,
5200,99999999,99999999,99999999,99999999,
5210,99999999,99999999,99999999,99999999,
5220,99999999,99999999,99999999,99999999,
5230,99999999,99999999,99999999,99999999,
5240,99999999,99999999,99999999,99999999,
5250,99999999,99999999,99999999,99999999,
5260,99999999,99999999,99999999,99999999,
5270,99999999,99999999,99999999,99999999,
5280,99999999,99999999,99999999,99999999,
5290,99999999,99999999,99999999,99999999,
5300,99999999,99999999,99999999,99999999,
5310,99999999,99999999,99999999,99999999,
5320,99999999,99999999,99999999,99999999,
5330,99999999,99999999,99999999,99999999,
5340,99999999,99999999,99999999,99999999,
5350,99999999,99999999,99999999,99999999,
5360,99999999,99999999,99999999,99999999,
5370,99999999,99999999,99999999,99999999,
5380,99999999,99999999,99999999,99999999,
5390,99999999,99999999,99999999,99999999,
5400,99999999,99999999,99999999,99999999,
5410,99999999,99999999,99999999,99999999,
5420,99999999,99999999,99999999,99999999,
5430,99999999,99999999,99999999,99999999,
5440,99999999,99999999,99999999,99999999,
5450,99999999,99999999,99999999,99999999,
5460,99999999,99999999,99999999,99999999,
5470,99999999,99999999,99999999,99999999,
5480,99999999,99999999,99999999,99999999,
5490,99999999,99999999,99999999,99999999,
5500,99999999,99999999,99999999,99999999,
5510,99999999,99999999,99999999,99999999,
5520,99999999,99999999,99999999,99999999,
5530,99999999,99999999,99999999,99999999,
5540,99999999,99999999,99999999,99999999,
5550,99999999,99999999,99999999,99999999,
5560,99999999,99999999,99999999,99999999,
5570,99999999,99999999,99999999,99999999,
5580,99999999,99999999,99999999,99999999,
5590,99999999,99999999,99999999,99999999,
5600,99999999,99999999,99999999,99999999,
5610,99999999,99999999,99999999,99999999,
5620,99999999,99999999,99999999,99999999,
5630,99999999,99999999,99999999,99999999,
5640,99999999,99999999,99999999,99999999,
5650,99999999,99999999,99999999,99999999,
5660,99999999,99999999,99999999,99999999,
5670,99999999,99999999,99999999,99999999,
5680,99999999,99999999,99999999,99999999,
5690,99999999,99999999,99999999,99999999,
5700,99999999,99999999,99999999,99999999,
5710,99999999,99999999,99999999,99999999,
5720,99999999,99999999,99999999,99999999,
5730,99999999,99999999,99999999,99999999,
5740,99999999,99999999,99999999,99999999,
5750,99999999,99999999,99999999,99999999,
5760,99999999,99999999,99999999,99999999,
5770,99999999,99999999,99999999,99999999,
5780,99999999,99999999,99999999,99999999,
5790,99999999,99999999,99999999,99999999,
5800,99999999,99999999,99999999,99999999,
5810,99999999,99999999,99999999,99999999,
5820,99999999,99999999,99999999,99999999,
